ID,name
458166b3-de17-4bf3-bbbb-e53782de2f0f,Nature Biotechnology
c6840156-ee10-4d78-8832-7f8909811576,IEEE Transactions on Knowledge and Data Engineering
7a7dc89b-e1a6-44df-a496-46c330a87840,SN Computer Science
6076bd95-0124-4b5d-8346-476b7287818c,"Shanlax International Journal of Arts, Science and Humanities"
41dbb273-8d18-4a45-8154-852882a37b34,Genome Biology
099483df-e8f2-4bee-805d-8a69f07b6cbf,Nature Methods
d60da343-ab92-4310-b3d7-2c0860287a9d,Journal of Big Data
82cd90f0-386f-4446-b237-6404c27f6a15,Communications in Computer and Information Science
3c27e831-750f-45bc-9914-2148a5259eba,IEEE Transactions on Artificial Intelligence
f458795b-af97-4b7c-ba4e-d57bbb57f90a,Chemical Reviews
7fac555d-41ef-410c-9c84-ed584a9cff7f,Journal of Geographical Systems
79af09a2-54e8-4f97-8edf-9fba208ab744,International Journal of Digital Earth
1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,IEEE Transactions on Signal Processing
62924b2a-8fb8-4b93-92c6-735516b49af0,Scientific Data
27475f31-a1d2-401b-84ad-9b405c7609a8,Journal of Epidemiology and Community Health
961301b0-6f5a-44a6-9216-54b673cded78,Journal of Statistics and Data Science Education
17bac89e-3dba-467a-b9d4-71e3baefb08b,Patterns
8b172637-3435-4dd3-a753-5035b814ff39,American Statistician
aa746a02-d187-42c2-bdf9-df6a5d4e648c,Computer/law journal
92d34d37-5c4b-4e11-b461-9041b7de4c2d,Philosophical Transactions of the Royal Society of London. Biological Sciences
70337d1b-fdf7-4fcb-b391-e096feba3748,BMC Medicine
09bb329a-45bc-4561-860f-c8ac0e958895,Ethics and Information Technology
2baad992-2268-4c38-9120-e453622f2eeb,Journal of Medical Internet Research
55511511-6974-4037-92a4-aec79ba003fe,Metabolomics
c0ded351-0e49-473e-816e-23b84c9f8dd3,Frontiers in Environmental Science
d949c7f0-1213-4a16-a6ab-134862369b91,Journal of Library and Information Sciences
ed4bb98c-600b-477e-9e9a-653127045ec0,CHANCE : New Directions for Statistics and Computing
bf228014-e6ea-4397-96c9-3fd22beb2f75,British Journal of Educational Technology
3fe65a3e-606b-4377-8de1-b3f779646e1e,"Annual review of political science (Palo Alto, Calif. Print)"
bc30f894-9a9c-440e-8420-7bd3c5624384,The Journal of the Learning Sciences
93a7b6aa-3a96-4e75-a837-cbd3660e8a72,Geographical Analysis
e4c9326f-17a0-48c8-85c6-2975945f4395,Journal of Biosciences
5821d52f-e54a-4b02-981a-dd16fec9a115,TOP - An Official Journal of the Spanish Society of Statistics and Operations Research
0aa85cdf-7469-400d-9553-a13cfaa44da5,Journal of Statistics Education
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,Communications of the ACM
da1f558d-7744-4ce7-9b43-0a73f0057985,Journal of Library Administration
4d899b46-b5c8-436e-8ce3-084673ea8905,Big Data & Society
be8cc615-4b2c-482c-86de-1f75a442c83f,Journal of Physics: Condensed Matter
94cf7e5d-ed99-4849-b9b9-17ed670f5e6e,Journal of Social Computing
fcbcaf18-8ab1-43e1-a973-604bbc7e344e,Proceedings of the VLDB Endowment
c3875580-2cce-4a95-a094-fff60bb381b9,International Journal of Data Science and Analysis
9cf634df-e30b-4e2a-aeb7-84a126ce8861,Chest
abe20b62-4958-4cfc-a05f-b87f4051f1a9,BioScience
329e28c6-84e0-4d75-a58e-ddac24c52d4e,International Journal of Population Data Science
f528e58c-0e4e-45b0-9456-832847244f0e,Empirical Software Engineering
c99cfe66-b71c-4ca4-bedd-26267b9cb068,IEEE Transactions on Software Engineering
64ae7767-9467-4e70-9e31-e4185f9f16ff,Information and Software Technology
f6572f66-2623-4a5e-b0d9-4a5028dea98f,Computer
10a4a695-8417-42c7-983d-742df48b3905,Journal of Systems and Software
0730105a-4941-449f-9450-28cba8ae056b,ACM Transactions on Software Engineering and Methodology
119227a6-1b94-433e-a52d-8445a387dbbe,IEEE Software
2f5d0e8a-faad-4f10-b323-2b2e3c439a78,Lecture Notes in Computer Science
