ID,name,domain
02761515-778b-4e96-8cce-6f7fdaba4e2b,Engineering,Engineering
bef303ef-4b58-433f-8f44-7f60abefc48f,Medicine,Engineering
68457171-0d78-43a6-90dc-ab592f2a06cb,Physics,Physics
cfbb2021-2292-4c55-b9b6-2f81a8ca58d9,Big Data,Computer Science
1735a835-72a4-43b3-977b-7dd9c8e923fb,Biology,Medicine
65a8f598-0d86-4b70-a3ad-6a3a9715c4e3,Data Processing,Computer Science
60352853-fc5b-4669-bd6f-d93829e49a6c,Business,Computer Science
c241e8c0-fe1d-4097-979d-2a090733567e,Chemistry,Materials Science
bbc0294d-ad81-4461-b09d-e7399e8dad16,Big Data,Computer Science
ed6c391a-6561-4ce2-a7e1-470697f33403,Political Science,Political Science
8233227a-b623-4321-9f69-1d99a32416c2,History,History
22988bc0-06db-4c94-9d81-15d2bdb044ae,Data Storing,Computer Science
ec73bc80-6567-42d9-ada1-f50287670414,Geography,Geography
f988f246-bfe3-4e93-ab7e-aeafbcd02ff3,Business,Medicine
1f58c4cb-3416-4b1d-aaa3-4ac6e10acd38,Economics,Economics
08d53d44-b348-4b46-b45c-14ff87f69351,Environmental Science,Environmental Science
01cddb20-31ed-48e1-9f02-0ec3b80b3877,Geology,Geology
